timestamp,pid,cpu_pct,rss_mb,vsz_mb
2026-05-12T01:59:14Z,5218,0.00,245.63,12868.18
2026-05-12T01:59:15Z,5218,0.86,245.63,12868.18
2026-05-12T01:59:16Z,5218,0.74,413.39,27912.74
2026-05-12T01:59:18Z,5218,26.36,766.29,55860.57
2026-05-12T01:59:20Z,5218,40.48,803.50,55870.45
2026-05-12T01:59:21Z,5218,15.85,805.27,55864.57
2026-05-12T01:59:23Z,5218,22.08,812.15,55868.24
2026-05-12T01:59:25Z,5218,22.69,813.07,55864.63
2026-05-12T01:59:27Z,5218,29.10,814.76,55864.63
2026-05-12T01:59:28Z,5218,22.41,816.45,55864.63
2026-05-12T01:59:30Z,5218,20.15,818.62,55865.86
2026-05-12T01:59:32Z,5218,51.47,818.70,55864.63
2026-05-12T01:59:33Z,5218,19.39,819.62,55864.63
2026-05-12T01:59:35Z,5218,27.95,820.38,55864.63
2026-05-12T01:59:37Z,5218,37.06,821.75,55864.63
2026-05-12T01:59:39Z,5218,17.69,847.24,55868.61
2026-05-12T01:59:40Z,5218,38.21,848.12,55868.61
2026-05-12T01:59:42Z,5218,12.45,848.93,55868.61
2026-05-12T01:59:44Z,5218,18.39,849.75,55868.89
2026-05-12T01:59:46Z,5218,15.59,850.00,55868.61
2026-05-12T01:59:47Z,5218,3.54,850.25,55868.61
2026-05-12T01:59:49Z,5218,17.08,854.34,55873.40
2026-05-12T01:59:51Z,5218,47.17,853.09,55871.55
2026-05-12T01:59:53Z,5218,13.81,856.62,55876.55
2026-05-12T01:59:54Z,5218,29.97,851.12,55868.66
2026-05-12T01:59:56Z,5218,12.54,851.50,55868.66
2026-05-12T01:59:58Z,5218,21.88,851.56,55868.66
2026-05-12T01:59:59Z,5218,28.02,851.56,55868.66
2026-05-12T02:00:01Z,5218,5.75,854.36,55872.56
2026-05-12T02:00:03Z,5218,21.52,851.75,55868.66
2026-05-12T02:00:05Z,5218,12.76,851.81,55868.66
2026-05-12T02:00:06Z,5218,11.64,856.99,55874.55
2026-05-12T02:00:08Z,5218,27.51,851.81,55868.66
2026-05-12T02:00:10Z,5218,24.31,851.88,55868.66
2026-05-12T02:00:12Z,5218,12.64,851.88,55868.66
2026-05-12T02:00:13Z,5218,20.09,851.88,55868.66
2026-05-12T02:00:15Z,5218,22.47,852.00,55868.66
2026-05-12T02:00:17Z,5218,33.78,852.19,55868.66
2026-05-12T02:00:18Z,5218,17.69,852.44,55868.66
2026-05-12T02:00:20Z,5218,8.26,852.62,55868.66
2026-05-12T02:00:22Z,5218,35.07,852.69,55868.66
2026-05-12T02:00:24Z,5218,12.82,852.81,55868.66
2026-05-12T02:00:25Z,5218,12.93,852.81,55868.66
2026-05-12T02:00:27Z,5218,10.97,852.94,55868.66
2026-05-12T02:00:29Z,5218,12.32,852.94,55868.66
2026-05-12T02:00:31Z,5218,32.80,880.96,55877.90
2026-05-12T02:00:32Z,5218,40.64,881.05,55869.09
2026-05-12T02:00:34Z,5218,17.63,885.87,55869.09
2026-05-12T02:00:36Z,5218,18.26,888.74,55869.09
2026-05-12T02:00:37Z,5218,8.78,892.67,55871.24
2026-05-12T02:00:39Z,5218,45.39,893.04,55869.69
2026-05-12T02:00:41Z,5218,17.06,894.05,55869.09
2026-05-12T02:00:43Z,5218,30.43,921.09,55873.09
2026-05-12T02:00:44Z,5218,2.38,921.84,55873.09
2026-05-12T02:00:46Z,5218,13.05,947.82,55877.22
2026-05-12T02:00:48Z,5218,41.56,948.88,55877.22
2026-05-12T02:00:49Z,5218,45.17,949.71,55877.07
2026-05-12T02:00:51Z,5218,12.36,950.71,55877.07
2026-05-12T02:00:53Z,5218,18.00,955.08,55882.97
2026-05-12T02:00:54Z,5218,10.11,951.77,55877.07
2026-05-12T02:00:56Z,5218,13.05,952.27,55877.07
2026-05-12T02:00:58Z,5218,7.06,952.77,55877.07
2026-05-12T02:01:00Z,5218,26.37,953.02,55877.07
2026-05-12T02:01:01Z,5218,38.42,953.40,55877.05
2026-05-12T02:01:03Z,5218,23.00,953.59,55877.05
2026-05-12T02:01:05Z,5218,1.78,953.97,55877.05
2026-05-12T02:01:06Z,5218,31.78,954.54,55877.05
2026-05-12T02:01:08Z,5218,39.14,954.66,55877.05
2026-05-12T02:01:10Z,5218,11.74,955.04,55877.05
2026-05-12T02:01:12Z,5218,33.07,955.29,55877.05
2026-05-12T02:01:13Z,5218,49.36,955.66,55877.14
2026-05-12T02:01:15Z,5218,27.18,955.66,55877.14
2026-05-12T02:01:17Z,5218,8.81,955.91,55877.14
2026-05-12T02:01:18Z,5218,14.08,958.39,55880.04
2026-05-12T02:01:20Z,5218,22.81,956.16,55877.14
2026-05-12T02:01:22Z,5218,28.90,956.29,55877.14
2026-05-12T02:01:23Z,5218,16.11,956.47,55877.14
2026-05-12T02:01:25Z,5218,13.49,957.99,55878.83
2026-05-12T02:01:27Z,5218,19.54,956.79,55877.14
2026-05-12T02:01:29Z,5218,12.42,956.85,55877.14
2026-05-12T02:01:30Z,5218,20.94,956.91,55877.14
2026-05-12T02:01:32Z,5218,10.76,957.10,55877.14
2026-05-12T02:01:34Z,5218,19.96,958.75,55879.10
2026-05-12T02:01:35Z,5218,20.61,957.47,55877.14
2026-05-12T02:01:37Z,5218,21.54,958.03,55877.89
2026-05-12T02:01:39Z,5218,17.73,957.72,55877.14
2026-05-12T02:01:40Z,5218,33.75,959.80,55879.54
2026-05-12T02:01:42Z,5218,13.81,957.92,55877.14
2026-05-12T02:01:44Z,5218,37.31,958.11,55877.14
2026-05-12T02:01:46Z,5218,18.99,958.17,55877.14
2026-05-12T02:01:47Z,5218,13.04,958.17,55877.14
2026-05-12T02:01:49Z,5218,12.44,958.30,55877.14
2026-05-12T02:01:51Z,5218,2.35,958.36,55877.14
2026-05-12T02:01:52Z,5218,14.15,958.55,55877.14
2026-05-12T02:01:54Z,5218,21.29,958.55,55877.14
2026-05-12T02:01:56Z,5218,20.52,958.55,55877.14
2026-05-12T02:01:57Z,5218,12.35,958.67,55877.14
2026-05-12T02:01:59Z,5218,18.32,958.86,55877.14
2026-05-12T02:02:01Z,5218,16.71,958.92,55877.14
2026-05-12T02:02:02Z,5218,33.01,958.98,55877.14
2026-05-12T02:02:04Z,5218,30.35,959.05,55877.14
2026-05-12T02:02:06Z,5218,14.87,959.05,55877.14
2026-05-12T02:02:08Z,5218,27.66,959.11,55877.14
2026-05-12T02:02:09Z,5218,20.37,959.17,55877.14
2026-05-12T02:02:11Z,5218,8.30,959.30,55877.14
2026-05-12T02:02:13Z,5218,12.99,959.36,55877.14
2026-05-12T02:02:14Z,5218,18.33,959.42,55877.14
2026-05-12T02:02:16Z,5218,3.53,959.42,55877.14
2026-05-12T02:02:18Z,5218,9.27,965.83,55877.14
2026-05-12T02:02:19Z,5218,20.38,959.42,55877.14
2026-05-12T02:02:21Z,5218,8.29,959.55,55877.14
2026-05-12T02:02:23Z,5218,2.39,959.61,55877.14
2026-05-12T02:02:24Z,5218,32.33,959.61,55877.14
2026-05-12T02:02:26Z,5218,17.30,959.61,55877.14
2026-05-12T02:02:28Z,5218,18.85,959.67,55877.14
2026-05-12T02:02:30Z,5218,18.46,959.80,55877.14
2026-05-12T02:02:31Z,5218,19.90,959.80,55877.14
2026-05-12T02:02:33Z,5218,50.84,959.86,55877.14
2026-05-12T02:02:35Z,5218,39.78,959.92,55877.14
2026-05-12T02:02:37Z,5218,24.01,959.98,55877.14
2026-05-12T02:02:39Z,5218,13.52,960.05,55877.14
2026-05-12T02:02:40Z,5218,25.57,960.11,55877.14
2026-05-12T02:02:42Z,5218,22.51,960.11,55877.14
2026-05-12T02:02:44Z,5218,8.30,960.11,55877.14
2026-05-12T02:02:45Z,5218,20.51,960.23,55877.14
2026-05-12T02:02:47Z,5218,17.18,960.30,55877.14
2026-05-12T02:02:49Z,5218,18.38,960.30,55877.14
2026-05-12T02:02:51Z,5218,29.54,960.30,55877.14
2026-05-12T02:02:52Z,5218,32.68,960.42,55877.14
2026-05-12T02:02:54Z,5218,33.22,960.42,55877.14
2026-05-12T02:02:56Z,5218,18.43,960.42,55877.14
2026-05-12T02:02:57Z,5218,16.39,960.48,55877.14
2026-05-12T02:02:59Z,5218,32.88,960.55,55877.14
2026-05-12T02:03:01Z,5218,3.53,960.61,55877.14
2026-05-12T02:03:03Z,5218,12.35,960.61,55877.14
2026-05-12T02:03:04Z,5218,20.21,960.61,55877.14
