timestamp,numbackends,active_backends,idle_backends,xact_commit,xact_rollback,blks_hit,blks_read,cache_hit_pct,temp_bytes,deadlocks,lock_waits,buffers_checkpoint,checkpoint_write_ms
2026-05-11T23:18:24Z,1,4,0,105,0,100.00,0,0,1,0,0,0,0
2026-05-11T23:18:29Z,1,12,0,1106,0,100.00,0,0,1,0,0,0,0
2026-05-11T23:18:35Z,1,20,0,2107,0,100.00,0,0,1,0,0,0,0
2026-05-11T23:18:40Z,1,28,0,3108,0,100.00,0,0,1,0,0,0,0
2026-05-11T23:18:45Z,1,36,0,4109,0,100.00,0,0,1,0,0,0,0
2026-05-11T23:18:50Z,1,44,0,5110,0,100.00,0,0,1,0,0,0,0
2026-05-11T23:18:55Z,47,146,0,8425,0,100.00,0,0,1,47,0,0,0
2026-05-11T23:19:00Z,49,1091,0,382310,0,100.00,0,0,1,48,0,0,0
2026-05-11T23:19:06Z,49,3074,0,1801459,0,100.00,0,0,1,48,0,0,0
2026-05-11T23:19:11Z,49,4136,0,2582301,0,100.00,0,0,2,47,0,0,0
2026-05-11T23:19:16Z,49,5268,0,3466233,0,100.00,0,0,1,48,0,0,0
2026-05-11T23:19:21Z,49,6295,0,3838101,0,100.00,0,0,1,48,0,0,0
2026-05-11T23:19:26Z,49,7345,0,4363296,0,100.00,0,0,1,48,0,0,0
2026-05-11T23:19:32Z,49,8325,0,4836757,0,100.00,0,0,1,48,0,0,0
2026-05-11T23:19:37Z,49,9328,0,5259122,0,100.00,0,0,1,48,0,124,0
2026-05-11T23:19:42Z,49,10362,0,5630957,0,100.00,0,0,1,48,0,239,0
2026-05-11T23:19:47Z,49,11400,0,6156212,0,100.00,0,0,1,48,0,357,0
2026-05-11T23:19:52Z,49,12539,0,6887153,0,100.00,0,0,1,48,0,475,0
2026-05-11T23:19:58Z,49,13562,0,7412307,0,100.00,0,0,1,48,0,591,0
2026-05-11T23:20:03Z,49,14523,0,7732275,0,100.00,0,0,1,48,0,708,0
2026-05-11T23:20:08Z,49,15681,0,8411908,0,100.00,0,0,1,48,0,826,0
2026-05-11T23:20:13Z,49,16704,0,8885774,0,100.00,0,0,1,48,0,944,0
2026-05-11T23:20:18Z,49,17770,0,9564535,0,100.00,0,0,2,47,0,1062,0
2026-05-11T23:20:23Z,49,18825,0,10243127,0,100.00,0,0,2,47,0,1180,0
2026-05-11T23:20:29Z,49,19861,0,10717081,0,100.00,0,0,2,47,0,1297,0
2026-05-11T23:20:34Z,49,20906,0,11089029,0,100.00,0,0,1,48,0,1415,0
2026-05-11T23:20:39Z,49,21984,0,11767908,0,100.00,0,0,1,48,0,1533,0
2026-05-11T23:20:44Z,49,23038,0,12497784,0,100.00,0,0,1,48,0,1651,0
2026-05-11T23:20:50Z,49,24083,0,13432076,0,100.00,0,0,1,48,0,1769,0
2026-05-11T23:20:55Z,49,25100,0,13752606,0,100.00,0,0,3,46,0,1887,0
2026-05-11T23:21:00Z,49,26189,0,14380711,0,100.00,0,0,2,47,0,2004,0
2026-05-11T23:21:05Z,49,27190,0,14803130,0,100.00,0,0,1,48,0,2122,0
2026-05-11T23:21:10Z,49,28207,0,15276882,0,100.00,0,0,1,48,0,2238,0
2026-05-11T23:21:16Z,49,29289,0,15853736,0,100.00,0,0,1,48,0,2356,0
2026-05-11T23:21:21Z,49,30213,0,16326728,0,100.00,0,0,1,48,0,2471,0
2026-05-11T23:21:26Z,49,31280,0,16647752,0,100.00,0,0,1,48,0,2589,0
2026-05-11T23:21:31Z,49,32441,0,17174580,0,100.00,0,0,1,48,0,2707,0
2026-05-11T23:21:36Z,49,33493,0,17546709,0,100.00,0,0,1,48,0,2822,0
2026-05-11T23:21:41Z,49,34433,0,18121785,0,100.00,0,0,1,48,0,2940,0
2026-05-11T23:21:47Z,49,35505,0,18698572,0,100.00,0,0,1,48,0,3056,0
2026-05-11T23:21:52Z,49,36526,0,18968125,0,100.00,0,0,1,48,0,3173,0
2026-05-11T23:21:57Z,49,37657,0,19238993,0,100.00,0,0,1,48,0,3291,0
2026-05-11T23:22:02Z,49,38578,0,19660604,0,100.00,0,0,1,48,0,3407,0
2026-05-11T23:22:07Z,49,39688,0,20237814,0,100.00,0,0,3,46,0,3527,0
2026-05-11T23:22:12Z,49,40827,0,20866719,0,100.00,0,0,1,48,0,3642,0
2026-05-11T23:22:18Z,49,41826,0,21391339,0,100.00,0,0,1,48,0,3760,0
2026-05-11T23:22:23Z,49,42866,0,21814434,0,100.00,0,0,2,47,0,3878,0
2026-05-11T23:22:28Z,49,43888,0,22594696,0,100.00,0,0,1,48,0,3996,0
2026-05-11T23:22:33Z,49,44919,0,23170806,0,100.00,0,0,1,48,0,4114,0
2026-05-11T23:22:38Z,49,45960,0,23440750,0,100.00,0,0,1,48,0,4232,0
2026-05-11T23:22:44Z,49,46991,0,23863664,0,100.00,0,0,1,48,0,4347,0
2026-05-11T23:22:49Z,49,48131,0,24390115,0,100.00,0,0,1,48,0,4465,0
2026-05-11T23:22:54Z,49,49184,0,25170712,0,100.00,0,0,1,48,0,4583,0
2026-05-11T23:22:59Z,49,50205,0,25695888,0,100.00,0,0,1,48,0,4701,0
2026-05-11T23:23:04Z,49,51214,0,26067103,0,100.00,0,0,1,48,0,4818,0
2026-05-11T23:23:10Z,49,52207,0,26489514,0,100.00,0,0,1,48,0,4936,0
2026-05-11T23:23:15Z,49,53362,0,27016117,0,100.00,0,0,1,48,0,5054,0
2026-05-11T23:23:20Z,49,54385,0,27643411,0,100.00,0,0,2,47,0,5172,0
2026-05-11T23:23:25Z,49,55419,0,28423812,0,100.00,0,0,1,48,0,5290,0
2026-05-11T23:23:30Z,49,56369,0,28794736,0,100.00,0,0,1,48,0,5408,0
2026-05-11T23:23:36Z,49,57540,0,29270697,0,100.00,0,0,2,47,0,5525,0
2026-05-11T23:23:41Z,49,58637,0,29592291,0,100.00,0,0,1,48,0,5643,0
2026-05-11T23:23:46Z,49,59655,0,30270548,0,100.00,0,0,1,48,0,5761,0
